code14,name14,prov14,name_carto,code24,name24,label04,idh04,src04,taux_pauvrete04,vulnerabilite04,severite04,inegalite04,ids04,mpi_rate04c,mpi_idx04c,mpi_int04c,mpi_rate14c,mpi_idx14c,mpi_int14c,pov_glob14c,mpi2014,mpi2024,mpi_intensity2014,mpi_intensity2024,mpi_rate2014,mpi_rate2024,vulnerability2014,vulnerability2024,menages14,population14,level,cercle,src14,src24
02.275.05.15.,Oulad Sidi Abdelhakem,Jerada,,22750515.0,Commune d'Ouled Sidi Abdelhakem,Jerada Oulad Sidi Abdelhakem,0.404,direct,32.9,26.56,4.11,28.23,0.071,,,,,,,,0.3720737397670746,0.13326355814933777,46.816802978515625,42.98171615600586,79.47440338134766,31.004709243774414,13.683733940124512,33.98744201660156,392.0,2207.0,commune,02.275.05.,,
02.381.01.01.,Al Aaroui (Mun.),Nador,Al Aaroui (M),23810101.0,Commune d'Al Aaroui,Nador Al Aaroui (M),0.645,direct,18.85,21.35,1.96,40.8,,17.30934715270996,7.033243179321289,40.63262939453125,5.321787357330322,1.9838769435882568,37.27839279174805,5.689844000000001,0.03819458931684494,0.02205139957368374,37.709529876708984,36.11817169189453,10.128630638122559,6.105347633361816,8.945310592651367,3.89973783493042,10132.0,47599.0,commune,02.381.01.,,
02.381.01.03.,Bni Ansar (Mun.),Nador,Bni Ansar (M),23810103.0,Commune de Bni Ansar,Nador Bni Ansar (M),0.691,direct,11.64,17.39,1.06,43.38,,17.115333557128906,6.919432640075684,40.42826843261719,3.607171058654785,1.3060895204544067,36.2081413269043,4.050363,0.027614779770374298,0.02000974491238594,36.632442474365234,34.9857292175293,7.538339614868164,5.719401836395263,8.463532447814941,4.330244541168213,12897.0,56582.0,commune,02.381.01.,,
02.381.01.05.,Nador (Mun.),Nador,Nador (M),23810105.0,Commune de Nador,Nador Nador (M),0.679,direct,7.44,12.95,0.65,42.66,,12.022783279418945,4.83356237411499,40.20335388183594,2.9369008541107178,1.0632802248001099,36.204158782958984,3.5818649999999996,0.022481221705675125,0.016622932627797127,36.66984939575195,35.33143615722656,6.130710124969482,4.7048563957214355,7.132025718688965,3.8090169429779053,37565.0,161726.0,commune,02.381.01.,,
02.381.01.07.,Zaio (Mun.),Nador,Zaio (M),23810107.0,Commune de Zaio,Nador Zaio (M),0.638,direct,16.91,20.94,1.69,40.14,,12.033097267150879,4.783387184143066,39.75191879272461,3.79325795173645,1.3987501859664917,36.87464141845703,4.572529,0.03187759220600128,0.02283879555761814,37.53749084472656,35.76036071777344,8.49220085144043,6.386623382568359,9.121149063110352,6.069793701171875,8282.0,35806.0,commune,02.381.01.,,
02.381.01.09.,Zeghanghane (Mun.),Nador,Zeghanghane (M),23810109.0,Commune de Zeghanghane,Nador Zeghanghane (M),0.643,direct,10.28,16.26,0.95,38.78,,11.781579971313477,4.645847797393799,39.433143615722656,3.2711241245269775,1.177238941192627,35.98881912231445,3.7330949999999996,0.025380030274391174,0.02057880163192749,36.29909896850586,35.76961135864258,6.991917610168457,5.753152370452881,7.435708999633789,4.587976455688477,7941.0,34025.0,commune,02.381.01.,,
02.381.01.15.,Ras El Ma (Mun.),Nador,Ras-El-Ma (M),23810115.0,Commune de Ras-El-Ma,Nador Ras El Ma,0.526,direct,21.23,24.91,2.18,32.38,0.53,17.233596801757812,7.251867771148682,42.07982635498047,4.300791263580322,1.598504900932312,37.16769027709961,10.42216,0.03260774165391922,0.037853922694921494,37.39284133911133,36.7003059387207,8.720316886901855,10.314334869384766,12.189973831176758,11.462837219238281,1836.0,7580.0,commune,02.381.01.,,
02.381.01.19.,Selouane (Mun.),Nador,Selouane (M),23810119.0,Commune de Selouane,Nador Selouane,0.528,direct,19.96,22.6,2.25,34.25,0.573,14.616744041442871,6.153921604156494,42.10186767578125,2.892906665802002,1.0286921262741089,35.55911636352539,3.342607,0.01847473345696926,0.015180676244199276,36.03074264526367,34.91895294189453,5.1274919509887695,4.347403049468994,5.248029708862305,1.9704217910766602,5025.0,21570.0,commune,02.381.01.,,
02.381.05.01.,Bni Bouifrour,Nador,Bni Bouifrour,23810501.0,Commune de Bni Bouifrour,Nador Bni Bouifrour,0.577,direct,13.08,19.58,1.25,32.75,0.668,22.468063354492188,9.33462142944336,41.54617691040039,6.8712992668151855,2.4860634803771973,36.180397033691406,11.003740999999998,0.04051972180604935,0.020715629681944847,36.731014251708984,36.16780090332031,11.031474113464355,5.727644443511963,11.545652389526367,7.992402076721191,1400.0,6418.0,commune,02.381.05.,,
02.381.05.03.,Bni Chiker,Nador,Bni Chiker,23810503.0,Commune de Bni Chiker,Nador Bni Chiker,0.597,direct,16.69,20.58,1.77,35.01,0.365,30.43247413635254,12.860518455505371,42.25919723510742,7.441860198974609,2.770742177963257,37.23184585571289,9.958545999999998,0.0540301650762558,0.027849100530147552,37.24308651662702,36.63165618161335,14.50743515795262,7.602468451627085,13.605260027881755,10.85198129936799,5619.0,26884.0,commune,02.381.05.,,
02.381.05.05.,Bni Sidel Jbel,Nador,Bni Sidel Jbel,23810505.0,Commune de Bni Sidel Jbel,Nador Bni Sidel Jbel,0.594,direct,14.17,20.19,1.36,34.17,0.508,26.218435287475586,11.022781372070312,42.0421028137207,8.689809799194336,3.299738883972168,37.972511291503906,10.03026,0.05999129265546799,0.02757437713444233,38.848602294921875,36.798770904541016,15.442329406738281,7.493287563323975,21.51175880432129,10.65413761138916,2002.0,8930.0,commune,02.381.05.,,
