code14,name14,population04_hcp,source
06.117.05.35.,Zaouiat Sidi Ben Hamdoun,10039,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.05.,Foqra Oulad Aameur,6024,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.07.,Jaqma,10582,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.09.,Kasbat Ben Mchich,13351,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.17.,Lambarkiyine,7884,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.19.,Ouled Cebbah,7635,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.20.,Oulad Ziyane,14151,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.21.,Ouled Zidane,6122,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.117.08.23.,Riah,7562,"HCP Monographie de la province de Berrechid (2018), tab. 41 (https://www.hcp.ma/reg-chaouia/docs/Publications/Monographie_Province%20_Berrechid.pdf)"
06.385.01.01.,Bouskoura (Mun.),60483,"HCP Grand Casablanca, note de présentation des premiers résultats RGPH 2014, tab. 5 (https://www.hcp.ma/reg-casablanca/docs/docs/rgph2014__region_grand_casablanca_note_de_presentation_des_premiers_resultats.pdf)"
06.385.01.02.,Dar Bouazza (Mun.),67066,"HCP Grand Casablanca, note de présentation des premiers résultats RGPH 2014, tab. 5 (https://www.hcp.ma/reg-casablanca/docs/docs/rgph2014__region_grand_casablanca_note_de_presentation_des_premiers_resultats.pdf)"
06.385.03.03.,Oulad Azzouz,26103,"HCP Grand Casablanca, note de présentation des premiers résultats RGPH 2014, tab. 5 (https://www.hcp.ma/reg-casablanca/docs/docs/rgph2014__region_grand_casablanca_note_de_presentation_des_premiers_resultats.pdf)"
06.385.03.05.,Oulad Salah,11583,"HCP Grand Casablanca, note de présentation des premiers résultats RGPH 2014, tab. 5 (https://www.hcp.ma/reg-casablanca/docs/docs/rgph2014__region_grand_casablanca_note_de_presentation_des_premiers_resultats.pdf)"
06.461.01.01.,Ben Ahmed (Mun.),28492,"HCP Série provinciale Settat RGPH 2014, tab. 42 (https://www.hcp.ma/reg-chaouia/docs/Publications/Serie_provinciale_Settat_%20RGPH_2014_finale.pdf)"
06.461.03.02.,Ain Dorbane-Lahlaf,8038,"HCP Série provinciale Settat RGPH 2014, tab. 42 (https://www.hcp.ma/reg-chaouia/docs/Publications/Serie_provinciale_Settat_%20RGPH_2014_finale.pdf)"
04.281.05.03.,Ben Mansour,36410,"HCP Rabat-Salé-Kénitra, séries communales 2004 (https://www.hcp.ma/region-rabat/Series-communales-2004_a85.html)"
04.281.05.11.,Sidi Mohamed Ben Mansour,15464,"HCP Rabat-Salé-Kénitra, séries communales 2004 (https://www.hcp.ma/region-rabat/Series-communales-2004_a85.html)"
04.281.03.01.,Ameur Seflia,24435,"HCP Rabat-Salé-Kénitra, séries communales 2004 (https://www.hcp.ma/region-rabat/Series-communales-2004_a85.html)"
04.491.03.17.,Ameur Chamalia,16623,"HCP Rabat-Salé-Kénitra, séries communales 2004 (https://www.hcp.ma/region-rabat/Series-communales-2004_a85.html)"
04.441.01.08.,Sidi Bouknadel (Mun.),16829,"HCP Monographie de la préfecture de Salé (2016), p. 20 (https://www.hcp.ma/region-rabat/docs/MonographiesProvinciales/Monographie%20sale%202016.pdf)"
04.441.03.05.,Ameur,26764,"HCP Monographie de la préfecture de Salé (2016), p. 20 (https://www.hcp.ma/region-rabat/docs/MonographiesProvinciales/Monographie%20sale%202016.pdf)"
01.573.03.05.,Belyounech,5484,"HCP Monographie de la préfecture de M'diq-Fnideq, tab. 3 (https://www.hcp.ma/region-tanger/attachment/1025151/)"
06.141.01.41.,Aîn-Chock (Arrond.),281071,"HCP Grand Casablanca, note de présentation des premiers résultats RGPH 2014, p. 11 (https://www.hcp.ma/reg-casablanca/docs/docs/rgph2014__region_grand_casablanca_note_de_presentation_des_premiers_resultats.pdf)"
