unit,name14,prov14,lon,lat,geonameid,fcode,display
12.066.01.03.,Lagouira (Mun.),Aousserd,-7.1264,33.28843,10938730,PPL,Lagouira
12.066.03.03.,Aghouinite,Aousserd,-13.62351,22.47328,6546559,ADM3,Aghouinite
12.066.03.05.,Aousserd,Aousserd,-14.55998,22.70937,6545582,ADM3,Aousserd
12.066.03.07.,Tichla,Aousserd,-15.11326,21.78277,6545583,ADM3,Tichla
12.066.03.09.,Zoug,Aousserd,-13.75618,21.8671,6545584,ADM3,Zoug
12.066.05.03.,Bir Gandouz,Aousserd,-16.46866,21.61567,6545580,ADM3,Bir Gandouz
12.391.01.01.,Dakhla (Mun.),Oued Ed-Dahab,-15.81519,23.67822,6546560,ADM3,Dakhla
12.391.05.01.,Bir Anzarane,Oued Ed-Dahab,-14.66318,24.046,6545634,ADM3,Bir Anzarane
12.391.05.03.,Gleibat El Foula,Oued Ed-Dahab,-13.78162,23.44159,6545635,ADM3,Gleibat El Foula
12.391.05.05.,Mijik,Oued Ed-Dahab,-12.50346,23.80786,6545665,ADM3,Mijik
12.391.05.07.,Oum Dreyga,Oued Ed-Dahab,-13.50212,24.15433,6545636,ADM3,Oum Dreyga
12.391.09.01.,El Argoub,Oued Ed-Dahab,-15.26972,23.71008,6546233,ADM3,El Argoub
12.391.09.03.,Imlili,Oued Ed-Dahab,-15.61007,22.65597,6546208,ADM3,Imlili
